current_root,current_page,match_count,quality,high_quality,high_quality_scope,link,match_words,found_in,hops_from_start_root
['https://www.obwb.ca/'],https://www.obwb.ca/,1,2,False,N\A,https://www.obwb.ca/newsite/collaborative-water-management/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/,2,3.6,False,N\A,https://www.obwb.ca/,"['Water', 'Water']",anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,https://www.obwb.ca/about-the-council/,['Water'],anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/overview/collaborative-water-management/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,22,True,https://www.obwb.ca/overview/water-quality-improvement/,https://www.obwb.ca/overview/water-quality-improvement/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://facebook.com/OkWaterWise,['Water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.instagram.com/okanagan_waterwise/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://twitter.com/OkWaterWise,['Water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.youtube.com/user/OKBasinWaterBoard,['Water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/overview-grants/funding-for-water-science-and-policy-projects/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/milfoil/about-eurasian-watermilfoil/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,22,True,https://www.obwb.ca/overview/water-quality-improvement/,https://www.obwb.ca/overview/water-quality-improvement/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,22,True,https://www.obwb.ca/water-quality-monitoring/,https://www.obwb.ca/water-quality-monitoring/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/well/,['well'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,3,5.4,False,N\A,https://www.obwb.ca/reporting/,"['Pollution', 'ion', 'on']",anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,https://www.obwb.ca/library/slow-it-spread-it-sink-it/,['water'],anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,19.8,True,"<a href=""https://www.obwb.ca/overview-grants/wcqi/"">Water Conservation &amp; Quality</a>",https://www.obwb.ca/overview-grants/wcqi/,['Water'],anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/overview/collaborative-water-management/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/well/,['well'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,https://www.obwb.ca/ag/,['Water'],anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,http://www.makewaterwork.ca,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,http://www.makewaterwork.ca/plants,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,https://www.obwb.ca/overview-grants/wcqi/,['Water'],anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,https://www.obwb.ca/wsd,['Water'],anchor,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tools/bc-water-use-reporting-centre/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/library/okanagan-sustainable-water-strategy/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/library/okanagan-sustainable-water-strategy/,['water'],href,1
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,http://obwb.ca/wsd,['Water'],anchor,1
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo_400x400.jpg,['water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,1.8,False,N\A,https://www.obwb.ca/tag/o_wsc/,['Water'],anchor,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/newsite/okanagan-water-stewardship-council-wins-national-award-of-excellence/,['water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,http://bcwaterusereporting.ca,['water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo.jpg,['water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/following,['Water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tools/bc-water-use-reporting-centre/,['water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,2,4,False,N\A,https://www.kelownacapnews.com/news/boil-water-notice-rescinded-for-star-place-water-system-users/,"['water', 'water']",href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/followers,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/likes,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/likes,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/media,['Water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://globalnews.ca/news/5019162/crews-investigating-water-main-break-in-osoyoos/,['water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://globalnews.ca/news/5014842/okanagan-man-on-trial-for-inappropriate-incident-at-lake-country-water-park/,['water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,2,4,False,N\A,https://www.kelownacapnews.com/news/boil-water-notice-for-star-place-water-system-customers/,"['water', 'water']",href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/media,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/with_replies,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/media,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1103744811440365568,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/water-conference-brings-native-non-natives-together/,['water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1103432916158287872,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/okanagan-water-conference-builds-connections/,['water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,2,4,False,N\A,https://www.obwb.ca/water-board-recognizes-water-conservation-winners/,"['water', 'water']",href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/canada-water-week/,['water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1102778332175728642,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/eurasian-watermilfoil/,['water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1101992303831453696,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
