current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/followers,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/likes,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/likes,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/media,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/media,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/with_replies,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/media,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1105513572786946050,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1105161644655734785,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1105153014149640195,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1104812498660790274,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1104307236309004289,1,2,False,N\A,['Water'],href
